,age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
0,56,3,1,1,0,0,0,1,5,1,261,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
1,57,7,1,4,-1,0,0,1,5,1,149,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
2,37,7,1,4,0,1,0,1,5,1,226,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
3,40,0,1,2,0,0,0,1,5,1,151,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
4,56,7,1,4,0,0,1,1,5,1,307,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
5,45,7,1,3,-1,0,0,1,5,1,198,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
6,59,0,1,5,0,0,0,1,5,1,139,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
7,41,1,1,-1,-1,0,0,1,5,1,217,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
8,24,9,2,5,0,1,0,1,5,1,380,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
9,25,7,2,4,0,1,0,1,5,1,50,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
10,41,1,1,-1,-1,0,0,1,5,1,55,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
11,25,7,2,4,0,1,0,1,5,1,222,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
12,29,1,2,4,0,0,1,1,5,1,137,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
13,57,3,0,1,0,1,0,1,5,1,293,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
14,35,1,1,2,0,1,0,1,5,1,146,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
15,54,5,1,3,-1,1,1,1,5,1,174,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
16,35,1,1,2,0,1,0,1,5,1,312,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
17,46,1,1,2,-1,1,1,1,5,1,440,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
18,50,1,1,3,0,1,1,1,5,1,353,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
19,39,4,2,3,-1,0,0,1,5,1,195,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
20,30,10,1,4,0,0,0,1,5,1,38,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
21,55,1,1,1,-1,1,0,1,5,1,262,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
22,55,5,2,4,0,1,0,1,5,1,342,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
23,41,9,2,4,0,1,0,1,5,1,181,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
24,37,0,1,4,0,1,0,1,5,1,172,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
25,35,9,1,6,0,0,1,1,5,1,99,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
26,59,9,1,-1,0,1,0,1,5,1,93,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
27,39,6,1,3,-1,0,0,1,5,1,233,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
28,54,9,2,6,-1,0,0,1,5,1,255,2,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
29,55,-1,1,6,-1,-1,-1,1,5,1,362,1,-999,0,-1,1.1,93.994,-36.4,4.857,5191.0,0
