iter	Logloss
0	0.6699872893
1	0.6501599348
2	0.6355287097
3	0.6220374865
4	0.611132365
5	0.6015991683
6	0.5918423098
7	0.5844168714
8	0.5788279298
9	0.5732877862
10	0.5682084643
11	0.5642230566
12	0.5603617303
13	0.5574903665
14	0.5541426375
15	0.5510824498
16	0.5486556084
17	0.5471066293
18	0.5450164129
19	0.5432097725
20	0.5416367769
21	0.5403771934
22	0.5385247107
23	0.5369444428
24	0.5359753595
25	0.5349710868
26	0.533976895
27	0.5331390451
28	0.5324992944
29	0.531679047
30	0.5310697531
31	0.5301539617
32	0.5293214386
33	0.5286139133
34	0.5279734793
35	0.5273106715
36	0.5267649456
37	0.5264139688
38	0.5259212813
39	0.5254688293
40	0.5247120644
41	0.5242674973
42	0.523608252
43	0.5233128656
44	0.5227482561
45	0.5223438237
46	0.5216580615
47	0.5213457545
48	0.5208584893
49	0.5205299166
50	0.519968941
51	0.5197019051
52	0.5190398693
53	0.5186575325
54	0.5183475917
55	0.5178064557
56	0.5172660792
57	0.5170831725
58	0.5167900558
59	0.51628145
60	0.5160068845
61	0.5155912921
62	0.5155226633
63	0.5153089607
64	0.5149984824
65	0.5148520294
66	0.5146614038
67	0.5143582483
68	0.5141803441
69	0.5137217197
70	0.5135878868
71	0.5133827367
72	0.5130021365
73	0.5128575947
74	0.5126496823
75	0.512425383
76	0.5122416718
77	0.5120053195
78	0.5117754669
79	0.5115720348
80	0.5113248506
81	0.5109140067
82	0.510655866
83	0.510471211
84	0.5097487223
85	0.509544084
86	0.5093135849
87	0.5089127956
88	0.5085169291
89	0.5082278272
90	0.5078848466
91	0.5076998334
92	0.50760808
93	0.5073787634
94	0.5070589427
95	0.506970322
96	0.506823106
97	0.5066517909
98	0.5064902907
99	0.5062815808
100	0.5060886344
101	0.505453114
102	0.5051038043
103	0.5048332208
104	0.5043314466
105	0.5042008025
106	0.503967297
107	0.5037783253
108	0.5036490215
109	0.5035206218
110	0.5031187068
111	0.5025645932
112	0.5020947619
113	0.5015715981
114	0.5014380245
115	0.5011504253
116	0.5009408492
117	0.5005905725
118	0.5004705613
119	0.5004556044
120	0.5000019359
121	0.499867148
122	0.49969064
123	0.499301021
124	0.4992317588
125	0.4987716496
126	0.498320284
127	0.4980550915
128	0.4978825864
129	0.497672536
130	0.4974822224
131	0.497184336
132	0.4968371598
133	0.4967160305
134	0.4963687846
135	0.4960661778
136	0.4956959183
137	0.4954997481
138	0.4950936339
139	0.4948175959
140	0.49470354
141	0.4941216671
142	0.4937597699
143	0.4935905459
144	0.4933703343
145	0.4931514184
146	0.4929444516
147	0.492706394
148	0.4923368606
149	0.4921669125
150	0.4915835287
