date,deu.bond,com.lead.ind,buss.conf.idx,curr.quar.gdp,lon.gold.pri
2008-05,4.201905,102.858,101.551,0.012509733,571.5239
2008-06,4.520476,102.3898,101.1211,0.012509733,571.946381
2008-07,4.490435,101.6756,100.7391,-0.507334602,596.4773913
2008-08,4.202381,100.6704,100.5805,-0.507334602,560.37285
2008-09,4.094091,99.36814,100.5316,-0.507334602,573.8665
2008-10,3.883913,97.86929,100.1388,-1.972245488,609.3842174
2008-11,3.5565,96.39345,99.02853,-1.972245488,594.7431
2008-12,3.047895,95.13874,97.50872,-1.972245488,608.9001905
2009-01,3.070952,94.22218,96.12632,-2.291561059,646.9679048
2009-02,3.1275,93.70765,95.00885,-2.291561059,734.5005
2009-03,3.019546,93.63055,94.2966,-2.291561059,710.0707273
2009-04,3.133,93.9718,94.03194,0.205896833,676.73815
2009-05,3.371,94.70513,94.12997,0.205896833,679.8654737
2009-06,3.473636,95.70494,94.15656,0.205896833,676.2657727
2009-07,3.337826,96.88113,94.52804,0.5915854,663.3076087
2009-08,3.305238,98.1188,94.93195,0.5915854,665.7081
2009-09,3.263182,99.2789,95.41552,0.5915854,684.288
2009-10,3.209091,100.2631,96.07449,0.920311355,703.91
2009-11,3.217143,101.0591,96.77807,0.920311355,754.8100952
2009-12,3.1385,101.682,97.22834,0.920311355,775.5009524
2010-01,3.2575,102.1168,97.55445,0.584358313,783.639
2010-02,3.17,102.3776,97.83915,0.584358313,800.1702
2010-03,3.102174,102.5127,98.09394,0.584358313,821.7457826
2010-04,3.0645,102.5389,98.36835,1.100647907,855.97265
2010-05,2.734286,102.4939,98.61098,1.100647907,959.9108947
2010-06,2.543182,102.4557,98.78909,1.100647907,1008.9495
2010-07,2.615909,102.4857,98.8313,0.834537577,937.2087727
2010-08,2.35,102.5863,98.86665,0.834537577,939.5226667
2010-09,2.300455,102.7523,98.99702,0.834537577,972.7998182
2010-10,2.345714,102.9585,99.16903,0.556356962,966.2440476
2010-11,2.533182,103.1872,99.36815,0.556356962,1003.197636
